title,gross_revenue,n_theaters,opening_revenue,release_date,wiki_page,page_created_date
Here After,"$5,612",1,"$5,612",2021-07-23,Here_After_(film),2023-05-11
"Introducing, Selma Blair","$5,700",3,"$3,157",2021-10-15,"Introducing,_Selma_Blair",2021-03-14
Dark State,"$5,824",7,"$4,022",2021-03-19,Dark_State_(film),2021-11-04
There Is No Evil,"$8,063",7,"$3,242",2021-05-14,There_Is_No_Evil,2020-02-14
The Feast,"$8,316",22,"$3,620",2021-11-19,The_Feast,2021-08-04
Enemies of the State,"$8,495",13,"$4,142",2021-07-30,Enemies_of_the_State,2021-04-04
Sabaya,"$10,450",-,-,2021-07-30,Sabaya_(film),2021-06-29
Little Girl,"$10,776",3,"$2,742",2021-09-17,Little_Girl_(film),2022-03-06
Minyan,"$11,451",1,"$4,988",2021-10-22,Minyan_(film),2021-05-22
Sweat,"$11,546",1,$966,2021-06-18,Sweat_(2020_film),2020-08-10
13 Fanboy,"$11,572",22,"$9,538",2021-10-22,13_Fanboy,2021-10-05
The Year of the Everlasting Storm,"$12,245",3,"$2,624",2021-09-03,The_Year_of_the_Everlasting_Storm,2021-06-07
Adverse,"$12,589",25,"$7,788",2021-02-12,Adverse_(film),2019-04-24
Lorelei,"$12,642",-,-,2021-07-30,Lorelei_(film),2020-08-26
I Was a Simple Man,"$12,669",6,"$7,525",2021-11-19,I_Was_a_Simple_Man,2021-01-01
Storm Lake,"$13,028",-,-,2021-09-17,Storm_Lake_(film),2021-08-14
Cicada,"$13,370",1,"$3,101",2021-10-29,Cicada_(film),2020-08-21
Bring Your Own Brigade,"$13,375",27,"$8,334",2021-08-06,Bring_Your_Own_Brigade,2021-01-17
We Need to Do Something,"$13,589",27,"$6,009",2021-09-03,We_Need_to_Do_Something,2020-11-02
American Traitor: The Trial of Axis Sally,"$14,000",-,"$14,000",2021-05-28,American_Traitor:_The_Trial_of_Axis_Sally,2019-03-09
We Broke Up,"$15,063",35,"$11,003",2021-04-16,We_Broke_Up_(film),2021-02-27
No Ordinary Man,"$15,508",-,-,2021-07-16,No_Ordinary_Man_(film),2020-08-01
Never Gonna Snow Again,"$15,901",5,"$2,828",2021-07-30,Never_Gonna_Snow_Again,2020-07-31
First Date,"$15,974",21,"$8,882",2021-07-02,First_Date_(film),2021-01-18
How It Ends,"$16,104",-,-,2021-07-16,How_It_Ends_(2021_film),2020-12-15
Ascension,"$17,200",-,-,2021-10-08,Ascension_(film),2021-06-19
Gaia,"$17,530",-,-,2021-06-18,Gaia_(film),2021-03-05
Mandibles,"$19,913",21,"$7,346",2021-07-23,Mandibles_(film),2020-08-03
Hero Mode,"$21,178",46,"$11,843",2021-06-04,Hero_Mode,2021-05-14
What Do We See When We Look at the Sky?,"$21,443",2,"$4,754",2021-11-12,What_Do_We_See_When_We_Look_at_the_Sky%3F,2021-02-12
The Novice,"$24,322",36,"$12,301",2021-12-17,The_Novice_(film),2021-04-20
John and the Hole,"$25,386",42,"$16,658",2021-08-06,John_and_the_Hole,2020-06-14
The Night,"$26,114",33,"$11,010",2021-01-29,The_Night_(2020_film),2021-01-05
Jakob's Wife,"$27,588",101,"$27,588",2021-04-16,Jakob%27s_Wife,2021-03-18
Bloody Hell,"$28,037",21,"$13,144",2021-01-14,Bloody_Hell_(2020_film),2021-01-16
Writing with Fire,"$28,262",4,"$3,423",2021-11-26,Writing_with_Fire,2021-12-26
Holler,"$28,706",31,"$12,026",2021-06-11,Holler_(film),2021-02-23
Mama Weed,"$29,151",20,"$8,891",2021-07-16,Mama_Weed,2023-03-18
Settlers,"$29,183",30,"$13,045",2021-07-23,Settlers_(film),2021-04-12
Trigger Point,"$29,262",77,"$29,262",2021-04-16,Trigger_Point,2021-02-25
The Beta Test,"$30,520",25,"$17,841",2021-11-05,The_Beta_Test,2021-02-12
Monday,"$30,932",54,"$18,767",2021-04-16,Monday_(2020_film),2020-04-12
Yakuza Princess,"$32,124",63,"$8,056",2021-09-03,Yakuza_Princess,2021-02-10
Try Harder!,"$32,432",5,"$27,816",2021-12-03,Try_Harder!,2021-06-04
